Age (ka),Alkane Depth (amcd),Alkanes (ng/g)
487.43,22.4,11.85
487.76,22.42,17.1
488.1,22.44,13.79
488.43,22.46,24.06
488.77,22.48,12
489.1,22.5,26.4
489.44,22.52,18.79
490.11,22.56,23.54
490.44,22.58,11.54
491.11,22.62,5.24
491.44,22.64,10.99
491.78,22.66,9.72
492.11,22.68,14.2
492.78,22.72,6.16
493.12,22.74,8.7
493.45,22.76,9.25
493.79,22.78,15.18
494.12,22.8,5.53
494.45,22.82,8.03
494.79,22.84,10.7
495.12,22.86,7.46
495.46,22.88,8.96
495.79,22.9,6.82
496.13,22.92,13.04
496.46,22.94,14.02
497.13,22.98,13.45
497.47,23,6.83
497.8,23.02,9.07
498.13,23.04,16.92
498.47,23.06,17.58
498.8,23.08,18.18
499.47,23.12,7.58
499.81,23.14,14.74
500.14,23.16,23.67
500.48,23.18,19.2
500.81,23.2,8.11
501.1,23.22,12.58
501.38,23.24,18.49
501.66,23.26,11.49
501.94,23.28,13.98
502.2,23.3,8.47
502.42,23.32,15.67
502.64,23.34,20.11
502.87,23.36,22.4
503.09,23.38,26.79
503.31,23.4,8.55
503.54,23.42,29.19
503.76,23.44,33.09
503.98,23.46,31.22
504.2,23.48,31.54
504.43,23.5,17.34
504.65,23.52,33.85
504.87,23.54,47.98
505.1,23.56,48.57
505.32,23.58,44.11
505.54,23.6,25.48
505.77,23.62,55.18
505.99,23.64,46.9
506.21,23.66,59.48
506.43,23.68,75.02
506.66,23.7,20.08
506.88,23.72,47.09
507.1,23.74,63.27
507.33,23.76,31.41
507.55,23.78,38.93
507.77,23.8,10.73
508,23.82,34.52
508.22,23.84,35.9
508.44,23.86,42.54
508.67,23.88,33.49
508.89,23.9,22.9
509.11,23.92,45.14
509.33,23.94,51.98
509.56,23.96,54.86
509.78,23.98,38.9
510,24,20.89
510.23,24.02,41.93
510.45,24.04,34
510.67,24.06,50.93
510.9,24.08,35.81
511.12,24.1,13.12
511.34,24.12,21.36
511.56,24.14,23.82
511.79,24.16,24.21
512.01,24.18,19.08
512.23,24.2,12.38
512.46,24.22,23.08
512.68,24.24,11.42
512.9,24.26,25
513.13,24.28,16.16
513.35,24.3,13.32
513.57,24.32,18.16
513.8,24.34,22.03
514.02,24.36,17.23
514.24,24.38,20.59
514.46,24.4,8.86
514.69,24.42,24.8
514.91,24.44,20.8
515.13,24.46,17.81
515.36,24.48,16.25
515.58,24.5,11.44
515.8,24.52,24.79
516.03,24.54,21.32
516.25,24.56,20.35
516.47,24.58,17.28
516.69,24.6,9.37
516.92,24.62,21.43
517.14,24.64,18.35
517.36,24.66,25.45
517.59,24.68,23.87
517.81,24.7,9.32
518.03,24.72,24.29
518.26,24.74,20.37
518.48,24.76,23.69
518.7,24.78,18.32
518.93,24.8,9.82
519.15,24.82,15.21
519.37,24.84,18.17
519.59,24.86,19.7
519.82,24.88,19.12
520.04,24.9,14.18
520.26,24.92,19.55
520.49,24.94,14.78
520.71,24.96,16.57
520.93,24.98,23.11
521.16,25,12.88
521.38,25.02,15.54
521.6,25.04,16.51
