Age (ka),  SST Depth (amcd),SST (°C)
611.44,30.23,18.42
611.89,30.25,18.14
612.33,30.27,18.13
612.78,30.29,17.02
613,30.3,18.07
613.45,30.32,17.41
613.89,30.34,16.75
614.12,30.35,16.69
614.56,30.37,17.53
615.02,30.39,17.4
615.57,30.41,17.27
615.85,30.42,16.81
616.41,30.44,17.66
616.97,30.46,16.69
617.25,30.47,18.26
617.8,30.49,16.31
618.36,30.51,16.23
618.95,30.53,16.28
619.3,30.54,16.41
620,30.56,16.5
620.69,30.58,16.07
621.04,30.59,16.45
621.74,30.61,16.5
622.44,30.63,15.76
623.13,30.65,16.94
623.48,30.66,16.17
624.18,30.68,14.75
624.88,30.7,14.53
625.23,30.71,14.74
625.92,30.73,14.48
626.62,30.75,13.96
627.32,30.77,14.8
627.66,30.78,14.24
628.36,30.8,11.09
629.06,30.82,13.19
629.41,30.83,13.89
630.1,30.85,14.47
630.8,30.87,14.64
631.49,30.89,15.08
631.77,30.9,14.79
632.33,30.92,15.23
632.89,30.94,15.34
633.44,30.96,15.11
634,30.98,15.26
634.56,31,15.86
634.84,31.01,15.69
635.4,31.03,15.31
635.95,31.05,15.88
636.51,31.07,16.13
636.96,31.09,14.98
637.41,31.11,15.67
637.63,31.12,16.58
638.08,31.14,16.07
638.52,31.16,15.67
638.97,31.18,15.34
639.42,31.2,15.18
639.86,31.22,14.97
640.31,31.24,14.94
640.53,31.25,13.45
640.98,31.27,14.15
641.42,31.29,14.83
641.87,31.31,14.84
642.32,31.33,16.31
642.76,31.35,17.23
642.98,31.36,15.72
643.43,31.38,15.39
643.88,31.4,14.78
644.32,31.42,14.57
644.77,31.44,15.23
645.21,31.46,14.43
645.44,31.47,15.78
645.88,31.49,14.84
646.33,31.51,16.57
646.78,31.53,14.64
647.22,31.55,14.63
647.67,31.57,14.61
647.89,31.58,14.88
648.34,31.6,15.66
648.78,31.62,15.24
649.23,31.64,15.39
649.68,31.66,15.1
650.12,31.68,13.4
650.57,31.7,16.11
651.01,31.72,14.66
651.46,31.74,13.65
651.9,31.76,13.53
652.52,31.79,15.1
652.94,31.81,13.41
652.94,31.81,14.77
653.36,31.83,15.38
653.36,31.83,15.14
653.78,31.85,15.39
653.78,31.85,14.1
654.2,31.87,14.68
654.41,31.88,14.84
654.61,31.89,11.45
654.82,31.9,13.3
655.03,31.91,13.5
655.24,31.92,12.81
655.45,31.93,13.28
655.65,31.94,13.41
655.83,31.95,12.3
656.21,31.97,13.85
656.58,31.99,14.2
656.95,32.01,15.21
657.32,32.03,14.68
657.69,32.05,14.01
658.06,32.07,14.89
658.44,32.09,15.22
658.81,32.11,16.31
659.18,32.13,14.4
659.55,32.15,16.61
659.92,32.17,13.76
660.3,32.19,14.75
660.67,32.21,16.61
661.04,32.23,13.99
661.41,32.25,14.22
661.78,32.27,13.44
662.15,32.29,14
662.52,32.31,15.37
662.9,32.33,13.71
663.27,32.35,13.71
663.64,32.37,13.95
664.01,32.39,14.81
664.38,32.41,15.44
664.76,32.43,15.38
665.13,32.45,13.7
665.5,32.47,14.78
665.87,32.49,14.85
666.24,32.51,15.57
666.61,32.53,14
666.99,32.55,12.61
667.36,32.57,13.48
667.73,32.59,13.91
668.1,32.61,14.68
668.47,32.63,15.03
668.85,32.65,13.64
669.22,32.67,13.57
669.59,32.69,14.31
669.96,32.71,14.45
670.33,32.73,14.96
670.7,32.75,12.77
671.08,32.77,13.69
671.45,32.79,14.36
671.82,32.81,14.81
672.19,32.83,13.34
672.56,32.85,13.42
672.93,32.87,13.44
673.31,32.89,13.32
673.68,32.91,15.79
674.05,32.93,15.11
674.42,32.95,15.15
674.79,32.97,15.01
675.16,32.99,14.9
675.54,33.01,13.94
675.91,33.03,10.34
676.28,33.05,11.31
676.65,33.07,11.79
677.02,33.09,12.09
677.39,33.11,12.03
677.77,33.13,12.45
678.14,33.15,13.08
678.88,33.19,14.15
679.25,33.21,13.89
679.63,33.23,12.45
680,33.25,12.92
680.37,33.27,15.14
680.74,33.29,13.52
681.11,33.31,14.71
681.48,33.33,14.16
681.86,33.35,14.09
682.23,33.37,15.24
682.6,33.39,16.25
682.97,33.41,17.45
683.34,33.43,16.63
683.71,33.45,16.25
684.09,33.47,16.75
684.46,33.49,17.1
684.83,33.51,15.39
685.2,33.53,14.61
685.57,33.55,14.14
685.95,33.57,13.79
686.32,33.59,14.42
686.69,33.61,14.13
687.06,33.63,13.78
687.43,33.65,15.92
687.8,33.67,15.56
688.17,33.69,15.88
688.55,33.71,16.41
688.92,33.73,15.78
689.29,33.75,17.16
689.66,33.77,15.41
690.03,33.79,15.72
690.41,33.81,17.82
690.78,33.83,15.4
691.15,33.85,14.87
691.52,33.87,16.09
691.89,33.89,14.95
692.26,33.91,17.6
692.64,33.93,17.45
693.01,33.95,17.7
693.38,33.97,17.03
693.75,33.99,17.72
